rep;r1-;r2-;r3-;r4-;r5-;r6-;r7-;r8-;r9-;r10-;r11-;r12-;r13-;r14-;r15-;r16-;r17-;r18-;r19-;r20-;r21-;r22-;r23-;r24-;r25-;r26-;r27-;r28-;r29-;r30-;r31-;r32-;r33-
"Доброго времени суток. Меня зовут Даниил и на данный момент мне 16 лет. Я много раз крутил в голове диалог с самим собой, где полностью раскладываю все по полочкам, но написать, конечно, мне это будет довольно трудно, и я даже не знаю с чего начать. Хорошо, попробую для начала описать всю обстановку вокруг. Я ученик 9 класса, лучший среди всех учащихся школы, лидер класса. Проблем с учебой, конечно, не имею никаких, потому что после начала 9 класса осознал значимость учебы и за полгода выучил всю школьную программу наперед. Есть лучший друг, с которым могу всегда поговорить на любую тему, отлично общаюсь с одноклассниками. Дома у меня тоже все хорошо, по некоторым событиям, о которых я не хочу говорить, с 6 лет живу с бабушкой и дедушкой, помимо этого есть крестный, двоюродные браться и сестры... В общем и целом картина складывается просто отличная. Я всегда обделен всеми благами этого мира. Дорогая одежда, все предметы электроники, я не нуждаюсь ни в чем. По описанию можно подумать, что у меня не может быть никаких психологических проблем, но это не так. Я страдаю и уже довольно долго. Я не знаю, как описать это состояние, но попробую максимально точно выразить все свои чувства и с чего все это началось. Ближе к новому году я задумался о дальнейшей учебе, решил уйти после 9 класса, но со временем передумал и принял решение остаться до 11. Как я уже говорил, у меня есть лучший друг, и он у меня, к сожалению, такой лучший один. ""Лучший друг"" для меня - это человек, которому я могу рассказать все свои переживания и мысли, так что он действительно для меня такой один. Он собирается поступать в другой город, и я хотел пойти туда же, куда и он, но, как уже сказал ранее, передумал. К вопросу учебы я вернусь чуть позже, потому что он играет здесь одну из решающих ролей. Меня преследуют мысли о суициде, об одиночестве, о том, зачем вообще существует человек. Если я смотрю какой-либо фильм, аниме или сериал, то постоянно завидую главному герою, завидую его жизни. Я смотрю, где нахожусь сейчас, что вокруг меня происходит, сравниваю его с собой и понимаю, что я ничто. Я осознаю это и в моей голове пролетает такая мысль: «Может мне лучше умереть, чем продолжать жить, как сейчас?». Пока друзья обсуждают фильм, я думаю о суициде. Я понимаю, что такого у меня, скорее всего, не будет. Не будет такой искренней любви, чувств, дружбы. Я думаю об одиночестве, я боюсь стать одиноким, боюсь, что в будущем буду один, не смогу почувствовать себя частью компании, пробежаться по теплому вечернему песку в кампании друзей. Я описываю то, о чем думаю, это правда. Боюсь навсегда остаться в этой стране, быть таким же, как миллионы людей в стране - без целей, стремления жить, денег и чувств. Общения с моим лучшим другом мне не хватает. У него есть девушка, с которой он проводит вечера, в последнее время у нас стали отличаться интересы, одним словом, я отдаляюсь от него и не понимаю, хорошо это или плохо. Я одинок, хотя вокруг меня полно людей, и это ужасно, я не могу ничего с этим поделать. Вернемся к учебе. Я загорелся желанием пойти в 11 класс, потому что понял, что это единственный и самый легкий способ уехать жить в Европу. Можно за 2 или 3 года подготовиться к экзаменам https://maximumtest.ru/oge, сдать контрольные, выучить язык или съездить на языковые курсы нужной страны, благо средств на это хватает, а потом поступить в нужный универ. Если это у меня получится, то я действительно стану счастливым. У меня есть такая мечта, в которую я начинаю верить все меньше и меньше. Я не знаю, смогу ли я поступить, выучу ли язык, хватит ли мне денег, если я не получу стипендию на бесплатное образование (заграницей стипендия студента полностью покрывает обучение в универе, так что это не выплата денег, как у нас, а, если можно так сказать, ""бюджет""). Я не понимаю, верю в себя или нет. Не хочу оставаться в этой стране, не хочу быть в своем городе, пусть МГУ, МГТУ, СПБГУ для меня открыты (у меня есть специальные льготы, которые позволяют учиться в этих универах на бюджете), я хочу жить где-то далеко. Несмотря на все это, в последнее время пропало желание учиться, жить, получать новые знания, совершенствоваться. Просто хочется умереть, разом решить все проблемы. На людях жизнерадостный и целеустремленный, а наедине с самим собой апатичный и депрессивный. Таким образом у меня выделяются следующие проблемы: 1. Сравнение своей жизни с главными героями из аниме/фильма/сериала, постоянные мысли ""Может мне лучше умереть, чем продолжать жить, как сейчас?"" Сейчас кто-то живет жизнью моей мечты, почему на его месте не я? Чувствую себя виноватым, потому что жалуюсь на свою жизнь и при этом имею все, о чем мечтают мои одноклассники. 2. Отсутствие желания жить, учиться и совершенствоваться. 3. Одиночество, боюсь, что лишусь единственного лучшего друга, который отдаляется от меня и иногда не понимает. Мне не хватает поддержки, возможно в лице девушки, а может просто хочется постоянного общения. 4. Одновременно и стремление к будущему (перебираю наилучшие варианты, пытаюсь строить планы с образованием) и боязнь к нему идти. А вдруг не выйдет? Как выбраться профессию, как выучить язык, как подготовиться к экзаменам? Ведь если не получится, то я застрял в месте, которое ненавижу. 5. Философские мысли о смысле жизни, квантовом бессмертии, зачем я вообще здесь, кто я такой, какой смысл мне жить? 6. Навязчивые мысли о суициде. Если раньше просто думал о нем второстепенно, то сейчас самоубийство фигурирует, как способ решения всех моих проблем и переживаний. Как мне пережить этот трудный отрезок, перетерпеть 2 года учебы без лучшего друга в окружении незнакомых людей, перестать думать о худшем варианте развития моего будущего? Как перестать сравнивать свою жизнь с жизнью чужих людей и снова начать стремиться с самосовершенствованию? Как, в конце концов, однажды не покончить жизнь самоубийством и перестать думать о нем?";1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Здравствуйте. Сейчас у меня такая ситуация: у меня сильные перепады настроения (от беспричинной радости до грусти, пустоты). Также меня все и всё раздражает бывает. Стою на учёте у психиатра и пью Вальпраком. Есть такое как мысли о самоубийстве. Что мне делать подскажите пожалуйста?;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
В течении нескольких лет проблемы с работой и с деньгами, при этом я пахала как лошадь, но я в долгах. Не позволяя при этом себе отдыха и вообще лишнего, даже новой одежды. В прошлом году меня предал мужчина, которого я очень сильно любила. Потом умерли два моих близких друга. Это было очень тяжело, после вторых похорон вылез адский нейродермит. Еле вылечила сама. Мне 33 года, и несостоявшаяся семейная жизнь, что я так и не стала матерью, хотя могла. Сейчас я нашла работу, но я всё время борюсь с собой, чтобы туда идти - всё хорошо, просто у меня нет сил. Страшно думать о долгах. Я понимаю что я не инвалид, что все проблемы решаются, но я боюсь и я устала. Для меня мысль о самоубийстве как опора, как плечо - если будет совсем плохо, я просто шагну с крыши и всё закончится. И я реально шагну, потому что сил терпеть просто нет. Это как овце ждать, когда ее зарежут. Не смогу ждать. Но я так же понимаю, что если я это сделаю - это не пройдёт не замеченным, а хотелось бы. Жалко младших братьев, они останутся одни. Мне надо как то с этим справиться. Денег на психолога у меня нет. Помогите мне пожалуйста.;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0
"Добрый день. Пожалуйста, прошу вас, помогите хоть чем-то. Денег на психологов нету.

Мне 31 год. Я хочу себя убить. Не могу лишь по одной причине, мама не переживет этого. Мне очень плохо и появляются резкие внезапные толчки желаний покончить с собой. Я не могу жить.

Я был первый раз у уролога потому что мне было трудно ходить в туалет и то, что там произошло, просто изменило мою жизнь. Он буквально меня изнасиловал пальцем и у меня даже пошла сперма. Я не знаю как теперь с этим жить. Я просто не чувствую себя больше человеком и живым. Меня не кому поддержать и я думаю о самоубийстве постоянно.";1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"Здравствуйте! Встречалась с парнем два года, решила поступать в другой город и предложила Как пережить расставание с любимым человекомрасстаться, он был против и сказал, что не смотря ни на что, дождется. Спустя четыре месяца приехала на каникулы, все было замечательно, он говорил, что очень меня ждет. Но по приезду все было странно: он относился с холодком (я решила не обращать внимания, так как считала, что это из-за учебы), потом сказал, что чувства не те, а в новый год вообще бросил, предварительно подняв руку :)

Сейчас по соц сетям я поняла, что он строит отношения с одногруппницей, хотя говорил не волноваться, и он друзей по полу не делит.

Мне очень плохо не от того, что мы расстались, а как он это сделал. Я очень сильно страдала и страдаю, если остаюсь наедине, то я вспоминаю ситуацию и мне так плохо становится от всего этого физически. А он гуляет с друзьями, и в первый же день, пока я билась в истерике, он ушел гулять с другом.

Мне надоело вспоминать это, желать ему всего самого плохого и мучительного, но два года не выкинешь, тем более это мои первые отношения вообще. Я не знаю, как с этим бороться. Мне кажется, я теперь никому и никогда не буду доверять. А еще мне снится мой приезд и все, что он сделал, просыпаюсь в холодном поту. Иногда кажется, что самоубийство это выход, чтобы эти мысли больше никогда меня не тревожили.";1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0
"Я не знаю, куда мне еще обратиться и что делать.
Все, что меня когда-то интересовало, теперь стало не интересным. У меня нет целей, желаний, мечты. Механически делаю то, что от меня требуется, остальное время провожу в кровати. Почти перестала есть, потому что возникла мысль, а сколько я так смогу прожить. Друзья или семья вроде бы есть, но такое ощущение, что они где-то на расстоянии. Не могу никого подпустить к себе слишком близко.
Иногда плачу без причины по ночам. Когда думаю о будущем, начинаю паниковать или наоборот испытываю равнодушие.
У меня не было никаких плохих событий в жизни, которые могли на меня негативно повлиять. Конечно, не все идеально. С семьёй не всегда лажу. Некоторые друзья, видимо, устав от моего поведения, перестали со мной общаться.
Я всегда чувствую себя виноватой и старалась, как могла, но последние несколько лет я просто уже не могу. Я понимаю, что не буду жить долго. Я просто хочу перестать чувствовать. И если бы не стыд за слабость перед семьёй, я бы уже давно убила себя.
Я не могу говорить об этих своих проблемах с окружающими, мне кажется, что все это незначительно, и что я все придумала.
Не знаю. Мне просто очень тяжело, и я уже не знаю, что делать. Лет пять, наверно, я чувствую все это. Иногда бывают периоды подъёма, когда кажется, что жизнь наладилась, а потом опять накрывает.";1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1
"Здравствуйте! Меня зовут Мария и мне неделю назад исполнилось 22. Моя история началась с того, что в сентябре я переехала в другой город с лучшей подругой. Мы сняли вместе квартиру, я нашла работу, подруга тоже, хотя ей было тяжело. Моя жизнь была прекрасной как никогда. Я впервые съехала от родителей, быстро нашла работу мечты и жила с самым близким другом. Через месяц я узнала что смертельно больна и мне осталось жить около года. Я решила никому не говорить и даже выбросила результаты обследования. Мне нравилась моя жизнь и провести её остаток ничего не меняя – лучший вариант. А рассказать всем правду я планировала с появлением симптоматики, которую я не смогу скрывать.
Так я прожила до апреля, а потом моя подруга уволилась с работы и её бросил парень. Она сказала, что ей нужно сменить обстановку. Я предложила снять другую квартиру и взять все расходы на себя и мы сошлись на этом варианте.
Но однажды я вернулась с работы домой и квартира оказалась пустой. В ней были только мои вещи. Меня впервые накрыла такая сильная истерика и страх одиночества. Я рыдая набрала подругу и она предложила встретиться завтра и всё обсудить, а я сказала что не доживу до завтра (это было глупо с моей стороны, но я не могла на тот момент контролировать эмоции) и она приехала в этот же вечер. Она сказала, что не может брать у меня деньги, к тому же ей нужно было полностью сменить обстановку поэтому она съехала к другой подруге, у которой своя квартира. Тогда я рассказала ей правду, что это последнее лето в моей жизни и я хотела провести его живя с ней в своей квартире, с долгими ночными прогулками как раньше, в кругу близких людей. Она была шокирована, сказала, что ей нужно переварить полученную информацию и пообещала встретиться на следующий день. Кстати в тот вечер я тоже уехала с квартиры к своему другу, так как больше не могла там находиться. И вот наступил следующий день, но от неё ничего не слышно. Я даже сама набрала её один раз, но она не взяла трубку. Сегодня уже второй день и ничего не изменилось.
Почему она меня игнорирует?
Мы были в хороших отношениях и жить вместе было легко. Единственное из-за чего мы ссорились, это когда её не было пару дней дома и я звонила и просила вернуться. Из-за болезни у меня появилась фобия надолго оставаться одной. Но такие ссоры возникали редко, не чаще чем раз в месяц, ведь в основном подруга была дома. А еще она часто говорила что любит меня и по её действиям это было понятно. В последний вечер когда мы виделись она тоже сказала что любит и переживает за меня.
Может она мне не поверила?
Я не сказала ей свой диагноз. Одно дело признаться в том, что ты болен, а другое дело – сказать чем. Пути назад уже не будет, я не смогу сказать что соврала если передумаю рассказывать. Хотя сейчас мне уже плевать. У меня менингиома лобной доли, которую из-за особенностей расположения и размеров поздно оперировать.
Что мне делать? Потратить кучу денег на новое обследование и показать ей результаты? Я не была в больнице с октября и меньше всего хочу приходить туда, пока чувствую себя нормально.
А может она мне врала? О том что любит меня и что ей не всё равно?
Я хочу с ней поговорить и понять что происходит, но мне кажется она меня бросила. Весь смысл моей жизни был построен на этом лете. Я запланировала кучу поездок, вечеринок и т.п. А теперь я потеряла квартиру, лучшего друга и смысл жить дальше. На данный момент я хочу умереть сейчас, и скорее всего я так и сделаю, если она не позвонит. Разве у меня есть другие варианты? У меня нет сил придумывать новые планы и искать нового лучшего друга.";1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Здравствуйте. Последнее время часто думаю о том , что не хочу дальше жить. Не вижу в этом смысла , слишком тяжело жить и с каждый годом все сложнее и сложнее . Я постоянно думаю где достать деньги на еду, оплату квартиры. Перебиваюсь случайными редкими заработками, не берут на работу уже 2 года , с биржи труда ничего не предлагают. Плюс ко всему стала часто болеть, ненавижу себя и своё отражение в зеркале. Ненавижу свою жизнь, в ней нет ничего положительного , никакой радости. Я плохо сплю , либо долго уснуть не могу , либо никак не проснусь , совсем нет сил. Меня никто не поддерживает , у мамы проблемы со здоровьем , ее зп не хватает на лекарства , я ничем не могу помочь , даже в гости к ней не приезжаю потому что денег на дорогу нет. Бабушка умерла почти год назад , мне до сих пор от этого больно и ещё больнее становится когда вспоминаю что я не приезжала в гости потому что не было возможности. Я каждый день плачу , сил ни на что нет , все деньги трачу на еду , постоянно хочу есть , как - будто не наедаюсь. Меня вроде как должны Пугать мысли что я не вижу смысла жить дальше , но этого нет. Единственное о чем думаю , я боюсь боли. ;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0
"в общем хочу поделиться своей историей. начну с того, что родители (в большинстве своем отец) очень жестоки ко мне, за любую ошибку пороли ремнем по очереди и швыряли друг другу, ставили в угол на сутки или даже больше, сейчас оказывается, что это я все придумала. Мой отец алкаш алкашом, по другому сказать не могу, он не один раз пытался убить мою мать(ножом, ружьём, осколками тарелок, удушить) и меня, она конечно же все терпит ведь у них ""любовь"", да и отец сказал, что если она подумает о разводе, то убьет всех нас. этой осенью он пришел домой пьяный, я в то время уже спала, как меня из сна вырывает его истошный крик. Я ничего не понимая пытаюсь прислушаться и понять что происходит, через время понимаю, что он пытается повеситься в ванной комнате, а мать пытается его остановить(есть запись с диктофона), через пару недель он снова заявился домой пьяный, но уже он бухал трое суток без перекура, по началу все было хорошо, он немного пропал и лёг спать, но вдруг он подрывается и начинает нести чушь про ботинки, крышку(видимо от кастрюли) и тп. он стал бить мать(запись тоже есть), но потом ушёл в туалет, а я будучи в одной пижаме босиком побежала на улицу и убежала к своей бабушке, которая дала денег за кодировку, но это счастье продлилось пару месяцев. я уже молчу о том, что он многократно пытался удушить меня и даже моего любимого и единственного кота. сейчас я в 9 классе, экзамены, вся вот это суета и тд, я рассчитала свои возможности по учебе и выяснила, что я не потяну программу 10-11 классов, но что отец ответил ""ты закончишь 11 классов, иначе я тебя пристрелю"" мотивация пропала совсем, буду рада если меня пристрелит хоть кто-нибудь, но после смерти моего кота, не хочу оставлять его в одной квартире с ненормальными людьми, Отец говорит, что если я и закончу магическим образом 9 классов, то мне дорога либо на трассу либо швеей, ведь без высшего никуда больше не берут, он запрещает мне ехать учится в Хабаровск(мы живёт от него в 300 км), ведь я ничего не умею, я умею, но все обесценивают мои труды. в начале января (числа так 16) произошел разговор, что мне нужно выучить стих, иначе заберут телефон, я пытаюсь защитить права на свою собственность, но в конечном итоге меня выставляют монстром, который испортил отцу и матери жизнь, без Физ. насилия, конечно же, не обошлось. вчера отец снова пришёл бухой, я все же решила попросить его помочь немного с сочинением, он не мог воспринимать нормально информацию, которую дали на листке(позже он исписал этот лист, а мне нужно было его сдавать, на все мои просьбы не делать этого он отвечал ""да мне по**й""), он обозвал меня как только можно, ударил пару раз. в этот день я впервые заплакала перед ним в более осознанном возрасте, ведь когда я начинала плакать в детстве меня били ещё сильней. я заплакала не от того, что мне больно или обидно, а от безысходности, я как бы не пыталась объяснить ему что я от него хочу, он не понимал. после моей просьбы отдать листок, тетрадь и ручку мне, он сказал ""нет"" и порвал тетрадь с листом. я просто ушла в свою комнату. через пару минут отец рявкнул чтобы я подошла к нему, он начал проводить лекцию, что он мол святой и в жизни никого не обидел(забыла упомянуть брата моей мамы, которому он доской разбил голову и проломил череп), я в какой-то момент ответило что они били меня(о чем я писала ранее), так отец позвонил матери по видео связи и стал ей рассказывать мол смотри какая дочь у нас сказочница, потом начал тыкать мне камеру прям в лицо и смеяться. сочинение я так и не написала, а училка даже и слушать не хочет по какой причине. когда я сижу в своей комнате и н кого не трогаю родители орут когда же я выйду из своей ""берлоги"" , а когда я выхожу чтобы посмотреть с ними фильм или просто посидеть, что они в два голоса орут ""медведь из берлоги вышел"" и хлопают, желание с ними сидеть пропадает и я ухожу обратно. я не могу обратиться куда-нибудь, мы живём в деревне, тут все друг друга знают, позвонить я никуда не могу, ведь мне запрещено говорить дома по телефону и в принципе даже держать его в руках. я просто хочу покончить со всем этим...либо умереть, либо закончить 9 классов и уехать к чертям собачьим. я просто хочу хорошо прожить свое детство, но, видимо, я так и умру в этом дурдоме.

прошу простить меня за ошибки, пишу вся в слезах и толком экран не вижу.";1;1;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;0;0
Я хочу умереть. Я потеряла смысл во всём, не хочу абсолютно ничего. Даже то, что приносило раньше удовольствия, уже не приносит, хочется просто исчезнуть и ничего не чувствовать. Я чувствую только боль и агрессию.;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
