answer;a1-;a2-;a3-;a4-;a5-;a6-;a7-;a8-;a9-;a10-;a11-;a12-;a13-;a14-;a15-;a16-;a17-;a18-;a19-;a20-;q21-;a22-;a23-;a24-;a25-;a26-;a27-;a28-;a29-;a30-;a31-
Здравствуйте, Михаил! После похорон товарища, Вас стали посещать мысли о смерти. И это совершенно естественно в такой ситуации, так как Вы увидели смерть очень близко. И это была смерть товарища, дорогого Вам человека. Михаил, такие события в жизни волей неволей поднимают в нашей душе предельные вопросы, связанные с конечностью бытия. - Кто я? - Зачем я? - Сколько мне осталось? Вы называете мысли о смерти дурными. Хотя, что же в них может быть дурного, смерть это же естественное окончание жизни. Понятно, что хочется отгородиться от таких мыслей, потому что они выбивают нас из привычного ритма жизни, вызывая в душе тревогу. Но, они же и заставляют нас что-то переоценивать в своей жизни, что-то менять в ней. Какие-то вещи становятся для нас второстепенными, не выдерживая проверки временем, а какие-то, наоборот выходят на первый план. Вы спрашиваете, что Вам сейчас нужно сделать? Хорошо будет все, что поможет Вам прийти в лад с самим собой. Можно и к батюшке сходить и с близкими поговорить. Почитать можно Ирвина Ялома (представителя экзистенциальной психологии), хорошая книга «Шопенгауэр как лекарство». Также Виктор Франкл «Сказать жизни «Да!»: психолог в концлагере». С уважением, Марина.;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0
Здравствуйте, Артем! Из Вашего письма, к сожалению, мало что можно понять кроме того, что Вам сейчас плохо и Вы обращаетесь за помощью. Артем, Вы можете позвонить на телефон психологической помощи в Вашем городе, и вместе с психологом подумать, что можно предпринять, чтобы выбраться из сложившейся ситуации. С уважением, anna.t;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Здравствуйте, Надежда! Вы обращаетесь за помощью, значит желание жить есть. Что произошло в Вашей жизни, что она утратила для Вас всякий смысл? Что тяготит Вас? Чтобы психолог мог помочь, необходимо понимать, в чем заключаются Ваши трудности, проблемы. Поговорить об этом Вы можете, позвонив на доступный Телефон Доверия. Не откладывайте Ваш звонок, позвоните прямо сейчас... С уважением, Ольга;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Здравствуйте Ольга. Вас посещают мысли о смерти и Вы спрашиваете что делать, потому что не понимаете почему они появились. Страх смерти это вполне естественное явление в жизни любого человека. Осознание смерти впервые появляется еще в дошкольном возрасте, а потом все зависит от того окружения взрослых в котором находится ребенок. Если в семье принято избегать обсуждения темы смерти, то у ребенка скорее всего, не возникнет понимания её роли в жизни, не сформируется отношения и он будет бояться её как чего-то неизвестного. Не могу знать точно, что послужило причиной возникновения этой темы в Ваших мыслях, поскольку не знаком с Вами лично, а в письме Вы даете слишком мало информации. Поэтому могу порекомендовать Вам в этой ситуации обратиться за помощью к специалисту психологу, который поможет разобраться в причинах возникновения Ваших страхов. С уважением, Савинков Станислав.;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Юля ,вы просите помощь, гнетут суицидальные мысли, позвоните на доступный телефон доверия и обсудите свое состояние. Заочно помочь просто невозможно, для этого надо сделать хотя бы звонок.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Здравствуйте, Ольга! Вам кажется, что Ваша жизнь не удалась… Вы пишите о том, что в жизни Вашей сплошные неудачи и все не клеится, хотя при этом, у Вас есть квартира, машина, неплохая зарплата. Есть мужчина. Но радоваться тому, что у Вас есть сейчас, радоваться своим достижениям Вам мешает чувство зависти. Наверное, до определенного момента, это чувство играло для Вас положительную роль, это был своего рода мотиватор, движок, который позволял Вам продвигаться вперед к достижению своих целей. Но сейчас, Вы понимаете, что «чего бы я в жизни не добивалась, всегда у кого-то лучше». И тогда, Вы начинаете искать в себе недостатки и думать об исчезновении из этого мира. Ольга, сравнивать себя с другими, более успешными, на Ваш взгляд, людьми, не всегда бывает полезно, так как обязательно найдется кто-то «лучше» Вас. Попробуйте лучше сравнивать себя с собой. Например, себя пять лет назад с собой нынешней. Как Вы изменились за это время? Что Вам удалось на сегодняшний день, а что еще предстоит сделать? Ольга, сейчас, кажется, наступило подходящее время для обращения к себе, время самопознания, время переоценки ценностей. Если сможете услышать себя, голос своего «внутреннего Я», то, скорее всего, сможете понять «в чем кайф этой жизни». А в других людях можно научиться видеть не только конкурентов, но и возможности для собственного роста. С уважением, Марина.;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0
"Здравствуйте, Лиза! В Вашей ещё совсем юной жизни уже произошло достаточно много травмирующих событий. Вам нужна поддержка, но с родителями не получается найти общий язык. Возможно в Вашем учебном заведении есть психолог, или взрослый к словам которого Вы прислушиваетесь, тот, кто поможет Вам преодолеть тяжелый период в Вашей жизни. Попробуйте рассказать о своих мыслях маме, возможно, что она даже не догадывается как Вам тяжело. Лиза, Вы можете позвонить по детскому телефону доверия, он бесплатный и анонимный: 8-800-2000122. Вы можете обсудить со специалистами, как можно начать разговор с мамой, как пережить потерю самого близкого человека, как помочь самой себе. А чтобы научиться радоваться жизни, можно прибегнуть к помощи хороших книг, одна из них ""Полианна"" Элионор Портер. А.Прихожан ""Психология неудачника. Тренинг уверенности в себе""- это книга, в которой описаны упражнения и задания для познания себя, то, что позволит Вам стать более устойчивой и успешной в жизни. С уважением, Светлана Старова";1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Здравствуйте, Дарья! Прошло более полугода с того момента, как Вы расстались с девушкой. Вследствие этого Вы перестали радоваться жизни, имеете проблемы со сном, плохой аппетит. Вы пишете, что ничего не чувствуете. Но при этом не хотите общаться с друзьями - из-за страха сказать что-то «грубое или жестокое», будто в Вас живет злость. Проблема сказывается и на учебе: плохо сдали последнюю сессию. Вы словно перестали управлять своей жизнью, «плывете по течению». Дарья, пережить расставание – это тяжелая душевная работа. То, как Вы справитесь с этим, зависит только от Вас. Первый важный шаг – это принять ситуацию. Разобраться, понять, что удерживает Вас в ней, не дает двигаться дальше. Безусловно, необходимо время, чтобы войти в привычный ритм. Но важно помнить, что опыт – это самое ценное, что приобретается в отношениях. Он может стать фундаментом для чего-то нового, пока не обнаруженного Вами... С уважением, Ольга;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0
Здравствуйте, Лиза! Случилось так, что Ваша подруга Полина пригласила вместе встретиться, но в не вполне знакомой Вам компании. Вы оказались не готовы принять такое предложение, так как не хотели идти на прогулку с незнакомой девочкой. Возможно, Вам в тот момент было предпочтительно более глубокое и доверительное общение. Вы столкнулись с естественной жизненной потребностью, когда на фоне общения в компании приятелей ощущается недостаток доверительного, по-настоящему дружеского контакта. И тут случилось расхождение интересов с Полиной, ведь она любит большие компании и отдает предпочтение им, в то время как Вам сейчас хотелось бы дружить и гулять с одним человеком. Оба эти предпочтения имеют право на существование. Возможно, именно поэтому случилась размолвка с Полиной, которая выявила несогласие с Вами или просто Вас не поняла. Скорее всего, проблема заключается в том, что Вас задели слова Полины. Дело в том, что в тот момент Ваши с Полиной интересы просто не совпали, но это не значит, что Вы не смогли бы найти с ней общего языка. Получается так, что в данный момент у Вас возникает ощущение, что Вам и одноклассникам нужны разные вещи, важны разные цели. А Ваша замкнутость и стеснительность – следствие ситуации, в которой Вы находитесь. Пока у Вас нет близкого друга. Но, возможно, с его появлением Вы достигнете своей цели и получите желаемые сопереживание, поддержку и понимание. Для этого надо внимательнее посмотреть на свое окружение. Возможно, что среди них есть человек, с которым Вам захотелось бы выстроить уже дружеские отношения. Поэтому не стоит ждать от него первого шага, а самой взять инициативу, и предложить, к примеру, встретиться и погулять вместе или сходить куда-нибудь. И если найдутся общие интересы, Вы увидите, что этот человек отвечает Вам взаимной симпатией, и это может стать началом хорошей и крепкой дружбы. Именно в такой дружбе Вы сможете найти то, что Вам сейчас необходимо. С уважением, ARIANA;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
Здравствуйте Марина. ваше письмо больше похоже на информационное сообщение, чем на обращение к психологу. Вы живете одна, одиночество Вас не расстраивает. Вы безответно влюблены в девушку, Вам хочется, чтобы она ответила Вам теми же чувствами, которые Вы испытываете к ней. Осталось непонятным, знает ли она о Ваших чувствах? Какой помощи Вы ждете от нас? Что Вы пробовали сделать, чтобы как-то исправить сложившуюся ситуацию? С уважением, savinkov.;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
