rep;r1-;r2-;r3-;r4-;r5-;r6-;r7-;r8-;r9-;r10-;r11-;r12-;r13-;r14-;r15-;r16-;r17-;r18-;r19-;r20-;r21-;r22-;r23-;r24-;r25-;r26-;r27-;r28-;r29-;r30-;r31-;r32-;r33-
"К неврологу не обращалась. Четіре года назад я поступила (переехала в другой город) в университет. Через некоторое время со мной и начало єто происходить. 
До этого умерла бабушка от онкологии так внезапно,и я долгое время винила себя в том, что я могла больше для нее сделать, когда она была жива. Но я уже успокоилась и смирилась с этим.
Были разочарования в людях.
В принципе, ничего, что могло меня на такое долгое время выбить из колеи.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0
"Здравствуйте!Меня зовут Анна 25 лет.Даже не знаю с чего начать.Живу заграницей уже 3 года,совершенно одна.Познакомилась с парнем,на 3 года младше.Вот уже полгода как он сильно пил и употреблял наркотики.Естественно со всеми скандалами.Просила,молила этого не делать.Вот уже несколько дней с тех пор как он выбросил все вещества из дома.Просит чтоб не уходила и что он изменится.Но агрессия не девается.Мы ссоримся по любому поводу.Могу часами тихо убеждать не ругаться и не материться,но он не слышит будто.Много раз случалось такое,что если ему не понравится как кто-то себя ведет на дороге,он создает аварийные ситуации,кричит и давит вовсю педаль газа.Не раз грозился оставить прямо на трассе если я не ""закрою свой рот"".Много раз избивал свою собаку за то что тот ""путается под ногами""Я понимаю что могу от него уйти,но во-первых,беспокоюсь за него,вдруг снова начнет употреблять наркотики и пить.Он сейчас говорит что жить не может без меня и по десять раз на дню спрашивает или я не уйду от него,а через 15 минут начинает орать будто резаный.Я понимаю что я бесхребетная раз не могу с этим покончить.Помимо этого мне страшно отсюда сьезжать,поскольку идти особо некуда,а домой вернутся сейчас не могу.Без работы и денег мне даже сложно уехать от него,поскольку от ближайших знакомых 200 км.В полицию не пойду,очень жаль его родителей,да он вроде и стал себя немножечко вести лучше чем раньше.Меня перестало интересовать что либо,начала не спать по ночам нагружая мозг бессмысленной информацией,а днем отсыпаться.Не понимаю зачем я вообще живу,все попытки найти хорошую работу или построить нормальные отношения основанные на уважении заканчиваются одним и тем же.Не понимаю,что делаю не так.Даже не знаю чего я хочу,ем только когда уже совсем сводит желудок.Ничего не хочу.И уже даже не плачу.Просто тупо сцществую.Помогите пожалуйста.Мне страшно от этого.";0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1
"
Здравствуйте, Светлана!Большое спасибо Вам за ответ!Что ж..Ухать можно,да и женщина у которой я жила некоторое время уже в курсе ситуации и готова меня забрать.Я достаточно наивный человек,верю в то что люди меняются и что нет плохих людей.Мне нехватает смелости начать этот разговор,поскольку как только я хочу это сделать,так утром меня встречает завтрак в постель,заверения что жизнь началась с нового листа (он сам выбросил в окно все что употреблял) и что очень любит.
Я согласна с тем что я трусиха.Боюсь причинить человеку боль своим уходом,стать причиной того что он снова начнет себя убивать.Хотя разговоры о том,как ему хочется затянуться нет-нет да мелькают.Я отдаю себе отчет в том,что наверное и не люблю уже,но страх быть плохой в его глазах перевешивает.О врачах и речи быть не может,потому что он сам признается что ему нравится курить,только (подчеркивает),конечно не тех количествах чтоб убиваться.
Знаю все это похоже на попытку оправдать его в своих глазах.
самое сложное для меня,это начать этот разговор и выстоять после всех уговоров и мольб.Я собирала вещи 3 раза,но после слез и увещеваний оставалась.Не могу себя пересилить.И жить так не могу.";0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;0;1;1;1
"Добрый день. Мне 17лет , учусь в 11 классе. Последнее время всё чаще и чаще лезут в голову мысли о суициде. Всё достало, проблемы с учебой, проблемы в семье, проблемы со здоровьем. Куча проблем. Раньше когда был сильный стресс, делала самоповреждения и это помогало. Где-то пол года делала, потом об этом узнала классная, которая обещала никому не говорить, но буквально через пару дней об этом рассказала маме.Потом я стала часто болеть, всд, головные боли. Не выдержав всего психанула и совершила очередную попытку, вследствие которой было пару переломов. Попытки самоубийства не дают мне покоя, это очень негативные воспоминания.
Не могу назвать своё состояние депрессивным, т.к. я достаточно весёлая, общительная. Поддержки и понимания со стороны близких нет, тема суицида у нас под негласным запретом.
Проблемы, которые заставили совершить тот поступок, они никуда не делись, они повторяются.Я понимаю что в будущем будет много проблем и меня это пугает.Не могу больше их терпеть. Всё достало. Ненавижу себя за всё. Всем будет лучше без меня. Больше не буду для всех проблемой.Хочется чтобы всё прекратилось. Прекратилось моё существование. Хочу побыстрее что-нибудь сделать с собой. Без разницы как , лишь бы поскорее. Тогда будет намного легче всем.";1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0
"Добрый день.
Акварель писал(а): ""в последнее время"". Как давно это началось?
Это началось давно , года 3-4 назад. В последнее время-это где-то последние месяца два. Очень часто думаю о самоубийстве.
Проблемы: Учёба, ну тут всё банально учителя злые, вечно придираются. Да и вообще хорошие работы у меня бывают редко, чаще всего плохие, ужасные. Много материала не понимаю.
Семья. Ссоры, скандалы, по поводу и без. Придирки. Вечное нытье и истерики сестры( мы с ней двойняшки).
Я вечно всем мешаю, везде лишняя, никому не нужна.
Акварель писал(а):Самоповреждения...Это как?
Здесь нельзя, наверное , об этом писать. Я резалась. Где-то пол года. Очень тяжело было перестать это делать. Даже сейчас иногда хочется опять начать.
Резалась в 9 классе, последняя попытка суицида была в 10.";1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0
"Добрый день.
К доктору не обращалась.
Дело не только в учителях,дело ещё в том, что хочу поступить в хорошее учебное заведение,а учусь плохо. Уже скоро писать сочинение , а я ничего не знаю. Пытаюсь что-то выучить, но ничего не получается.
Даже не знаю как это правильно описать.Те попытки постоянно всплывают в моей памяти. Но в последнее время постоянно вспоминаю последнюю попытку суицида. Тот день, после падения практически ничего и не помню. Но потом , помню больницу, боль , те долгие месяцы восстановления. 
Маме всё рассказываю, а ей наплевать на меня.Чувствую себя лишней. Сестра постоянно орёт на меня. Наши отношения в семье безнадежная пропасть. 
Из-за шрамов на руке , приходится носить водолазки, не знаю почему тогда не думала, что они будут.
Со здоровьем- частые головные боли. 
Считаю это временной проблемой, но всё же , пока что третий месяц встаю в пять утра. Иногда , пытаюсь поспать днём. 4 часа сна несомненно мало. Когда у меня была несколько раз возможность поспать подольше , я всё равно просыпалась через 4 часа. И потом долго не могла уснуть, засыпала под утро, и просыпаясь чувствовала себя хуже , чем до этого. Пишу это и очень хочется спать. Возможно написала бы больше , но из-за сонливости мысли в голову не лезут.";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1
"Нет, врачи не разговаривали. Психолог не приходил. Вряд ли он вообще есть у нас. Чудом не положили в психушку, хотя в скорой сказали, что положат. И классная их поддержала, вот мол да, дура ещё та. Там ей и место. Первые минуты в больнице, отчаянно пыталась выяснить где я. Я думала, что попала в психушку.
Маме наплевать потому, что она не слушает. Ничего не отвечает. Безразлично может кивнуть. Она очень хорошо , разговаривает с другими людьми. Оживлённо на многие темы.
Что касается гб. Когда педиатр наконец-то направила к неврологу, а он один в городе как и травмотолог, то нужно было ждать месяц записи , и потом по записи больше часа сидеть в очереди. Но назначенные препараты не помогли.
Нарушения сна временные ,из-за режима. Нарушений памяти у меня нет.";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;1
"что это за проблемы?
Даша Р писал(а):Проблемы: Учёба, ну тут всё банально учителя злые, вечно придираются. Да и вообще хорошие работы у меня бывают редко, чаще всего плохие, ужасные. Много материала не понимаю.
Семья. Ссоры, скандалы, по поводу и без. Придирки. Вечное нытье и истерики сестры( мы с ней двойняшки).
Я вечно всем мешаю, везде лишняя, никому не нужна.
Друзей и близких людей нет.
Акварель писал(а):Даша, сейчас самоповреждения ты уже не практикуешь?
Не практикую, но очень хочется возобновить. Т.е. опять начать резаться.";1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1
"Здравствуйте!
Мне 32 года, я юрист, образование высшее, женат, детей нет. 
Я устал жить, не думаю, что в моей жизни есть какой то смысл.
Я не вижу себя в будущем на моей нынешней работе (юрист на госслужбе), но бросить ее не могу, потому что она приносит очень хороший доход, необходимый моей семье, позволяющий выплачивать ипотеку. Еще у меня есть небольшая подработка - консультирование онлайн, надоевшая хуже горькой редьки, но бросать тоже жалко. Все потому, что нужны деньги всегда и на все: копить на машину, выплачивать ипотеку, копить на новую квартиру, в которую хочет переехать жена. Дети возможно придали бы жизни смысл, но жена не хочет их, не хочет рожать, прежде чем мы устоимся материально. Я ее понимаю - безответственно рожать ребенка, не имея возможности дать ему самое необходимое. С другой стороны, зачем я живу, если с моей смертью все закончится, не будет тут никакого продолжения меня?
Цели в жизни нет, жизнь просто не имеет смысла. На работе - суды, документы, отбивание очередной суммы денег, увольнение какого-то очередного сотрудника, поиск решения очередной проблемы очередного мудака-клиента.
У меня была еще одна подработка, от которой я недавно отказался из-за конфликта интересов. Я ушел от того клиента без сожаления, если честно, он был недобросовестный тип, чьи запросы сводились лишь к уходу по формальным причинам от того, чего он заслуживал. На второй подработке не так давно допустил ряд косяков, показал себя не с лучшей стороны, чувствую себя ничтожеством, готов просто кричать об этом - я ничтожество!
Все чаще у меня нет желания работать, как и в жизни, в работе я не вижу смысла. В чем смысл? Лет через 5 стать начальником отдела или замом начальника? О да, я выиграю по деньгам, но буду все также бояться потерять работу, потому что не могу избавиться от мысли, что я ничтожество и ничего не умею, кроме как на этом месте, что буду никому не нужен. Хотя я и так думаю, что никому не нужен, пытаюсь выслужиться перед начальством, получается, вроде даже получается решать поставленные задачи. Ну а толку?
Как я сказал, желание работать пропало вместе с желанием жить, совершенствовать себя, учиться. Апатия. Я просто забываюсь в просмотре роликов, соцсетях, эротике, онлайн-играх - на время помогает, как наркотик, а после становится еще хуже. Пару раз думал полоснуть себя лезвием по запястью, просто под рукой не было ничего такого.
Может быть - это мой удел - быть ничтожеством и никому не нужной тварью?
Возможно, что так и есть. Ищу смысл, цель, но не могу его найти.
Погано все.";1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0
"Здравствуйте.
На настоящий момент те мысли, о которых я писал ушли. Они и раньше уходили и появлялись вновь. Или появлялось что-то близкое к этому.
Вчера были мысли о саморазрушении, о сознательном бездействии, неудаче, разочаровании в себе в будущем. Возможно будет очередной ""прилив"".
Я не могу понять, откуда такие мысли вообще берутся. Можно ли не думать в этом направлении?
Иногда я ощущаю нежность по отношению к жене. Иногда - просто раздражение, даже злобу - где-то внутри, хочется взорваться. Иногда хочу быть один, а иногда думаю, что не могу без жены и хочется детей. Я не обижаю ее, нет, ни в коем случае, но иногда представляю, как делаю это, потом начинаю бояться этого. Я представляю, как разрушаю то, что мне дорого, получаю от этого какое-то наслаждение, но от этого же мне и страшно, больно, как будто я это уже сделал.
На работе я иногда концентрируюсь на задаче, порой помогают ноотропы, порой я просто отвлекаюсь на что-то другое, что заставляет чувствовать себя виноватым. Мысли, что не выкладываюсь, не самореализуюсь полностью, что могу больше и должен больше.
Мне неясно, что со мной не так?";0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0
