answer;a1-;a2-;a3-;a4-;a5-;a6-;a7-;a8-;a9-;a10-;a11-;a12-;a13-;a14-;a15-;a16-;a17-;a18-;a19-;a20-;q21-;a22-;a23-;a24-;a25-;a26-;a27-;a28-;a29-;a30-;a31-
"Здравствуйте, Анна,
Меня зовут Светлана. Давайте разбираться. Начнем с главного
Хорошо, что Вы написали на наш форум. В принципе, это уже первый шаг - действие - обращение за помощью.
Давайте четко, по пунктам разбираться - так как ситуация действительно, сложная.

Первое.
Просит чтоб не уходила и что он изменится
К сожалению, вероятность того, чтобы алко- и нарко-зависимый человек усилием воли справиться с зависимостью ничтожно мала. Нужна помощь специалистов-наркологов, духовная поддержка и только к этому - волевое усилие самого зависимого.

Второе.
Не бывает ""бывших"" алкоголиков и наркоманов. Есть только возможность добиться ""ремиссии"". В ""сухой"" период зависимые становятся особенно агрессивны - что говорит о серьезной степени зависимости.

Третье.
Вероятнее всего, Вы находитесь в эмоциональной созависимости с этим человеком. Ваше поведение - уговоры, мягкое обращение, слова ""без меня он пропадет"", ""ведет себя получше"", ""жаль родителей"" - показатели созависимости.
Это поведение только подкрепляет поведение зависимого человека. То есть Вы не спасаете своего парня, а подкрепляете его поведение.
""Спасти"" такого человека мягкими словами и уговорами нельзя. Это факт, который нужно понять. 

Четвертое.
Находиться рядом с этим человеком - опасно. Опасно для Вашей и его жизни. Это нужно понять и запомнить. 
Пешком, автостопом, босиком - нужно уходить. 

Основная задача - решить, куда идти. Где живут знакомые?";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Здравствуйте, Анна! :13: 
Ухать можно, да и женщина у которой я жила некоторое время уже в курсе ситуации и готова меня забрать
- то есть у Вас есть, куда пойти.  :) Выход - в прямом смысле этого слова не только есть, но и доступен сейчас, в настоящем.
Я достаточно наивный человек, верю в то что люди меняются и что нет плохих людей.
И я в это верю. Скорее всего, так оно и есть. Но. Это положение - установка не имеет никакого отношения к сложившейся ситуации. 
Химическая зависимость - это болезнь - духовная и телесная. И эта болезнь не лечится присутствием рядом любимого человека. Увы, именно близкие в огромном числе случаев мешают выздоровлению. Это надо знать. Уговоры, ссоры-примирения, клятвы ""это было в последний раз"" - это горячая грелка на живот больного с острым аппендицитом. Именно так. 
Боюсь причинить человеку боль своим уходом, стать причиной того что он снова начнет себя убивать.
Да, многие зависимые люди эмоционально одарены. Алко-зависимые умею очень красиво ухаживать и объясняться в любви.
С большой долей вероятности Ваш друг снова вернется к прежнему поведению. 
Еще раз подчеркиваю - для такого больного присутствие любимого, который мирится и все прощает - это и есть разрушение. Вы не спасаете его. Да и не можете этого сделать. 
Не нужно жалеть себя. И объясняться не нужно. Просто - уйти. Не нужно демонстративных сборов - тихо встать и уйти.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Добрый вечер, Даша.
Ты пишешь, что мысли о суициде появились ""в последнее время"". Как давно это началось? 
Давай по порядку разбираться:
""проблемы в семье, проблемы с учебой, проблемы со здоровьем..."" Расскажи, пожалуйста...ведь не понять по этой строчке - что там, в твоем мире твориться.
Самоповреждения...Это как? 
Для начала, нам нужно понять друг друга правильно. Да, так бывает, что человек путает условия жизни с самой жизнью. Часто так бывает.
Разница в том, что условий жизни много, и они могут меняться. А вот жизнь - она одна. ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Даша...понятно. Да, бывает, увы такой тип само-разрушения...Это когда наказываешь сам себя. К какому-либо доктору обращались?

Учителя....учителя - Даша, как ты думаешь, они ""навсегда""? Через пять лет важно тебе будет, какую оценку по химии тебе ставили ;) ?";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Даша, а там, в больнице, с тобой разговаривали врачи? Психолог приходил? 
Ты рассказываешь маме - и говоришь, что ей ""наплевать"". Почему ты так решила, Даша? 

Частые головные боли, нарушение сна...Даша, ты можешь сама сходить в поликлинику? Как минимум, нужна консультация невролога. 
Ведь и проблемы с учебой, вероятно, имеют ту же природу - нарушение памяти, например.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Спасибо за ответ, Даша.

Есть одна проблема - через сообщения очень трудно общаться с человеком, о котором почти ничего не знаешь. 
В самом первом сообщении ты написала ""проблемы, которые заставили совершить тот поступок, они никуда не делись, они повторяются.""

Давай разбираться - что это за проблемы? Когда они появились? Что происходит в твоей семье?
Есть ли у тебе друзья или близкие люди?

Даша, сейчас самоповреждения ты уже не практикуешь?";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" 
Здравствуй, 
Актуален ли еще Ваш запрос?";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0
"Здравствуйте!
Читая Ваше сообщение вспомнилось..
На первом- втором курсе студентов учат: ""Если в тексте или в речи видишь ""не могу"" - то это означает только одно ""не хочу"".""
По-новому звучит Ваше первое сообщение при таком прочтении.
Вы юрист - то есть работаете с людьми. Та же система, что и у психолога - ""человек-человек"". Эмоции. Сдерживание. Опять эмоции - но уже на ином уровне - с большим накалом...Чтобы успешно работать с такими нагрузками нужна очень серьезная мотивация, подкрепление - интерес к делу, возможность почувствовать себя нужным, делающим Дело...или задача - выжить любой ценой. Даже очень хороший заработок не может служить устойчивым стимулом для работы.

Скажите пожалуйста, обращались ли Вы к психологу когда-нибудь очно?";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Здравствуйте!

Да, возможно, именно в этом и кроется причина. В отсутствии целей, но не просто каких-то целей в будущем, а именно тех, что дают силы и возможность жить и действовать именно здесь и сейчас, в настоящем.

Давайте посмотрим на проблему иначе, с другой стороны. 
Как часто Вам удается делать то, что Вы действительно хотите? 
Не ""вообще"" - а в течение одного простого дня? Вы сможете перечислить такие простые моменты совпадения ""желания и возможности""?";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0
